mpg,car_name
10,"ford f250"
10,"chevy c20"
11,"dodge d200"
11,"mercury marquis"
11,"chevrolet impala"
11,"oldsmobile omega"
12,"dodge monaco (sw)"
12,"oldsmobile delta 88 royale"
12,"mercury marquis brougham"
12,"buick electra 225 custom"
12,"ford country"
12,"oldsmobile vista cruiser"
13,"ford country squire (sw)"
13,"pontiac safari (sw)"
13,"chevrolet impala"
13,"buick lesabre custom"
13,"chrysler newport royal"
13,"chevrolet chevelle concours (sw)"
13,"ford gran torino (sw)"
13,"buick century 350"
13,"chevrolet malibu"
13,"chevrolet caprice classic"
13,"ford ltd"
13,"chrysler new yorker brougham"
13,"amc ambassador brougham"
13,"plymouth custom suburb"
13,"buick century luxus (sw)"
13,"ford mustang ii"
13,"plymouth volare premier v8"
13,"chevy c10"
13,"ford f108"
13,"dodge d100"
14,"chevrolet impala"
14,"plymouth fury iii"
14,"pontiac catalina"
14,"plymouth 'cuda 340"
14,"buick estate wagon (sw)"
14,"chevrolet impala"
14,"pontiac catalina brougham"
14,"ford galaxie 500"
14,"plymouth fury iii"
14,"pontiac catalina"
14,"ford galaxie 500"
14,"plymouth satellite custom (sw)"
14,"amc matador"
14,"ford gran torino"
14,"plymouth fury gran sedan"
14,"dodge coronet custom (sw)"
14,"ford gran torino (sw)"
14,"amc matador (sw)"
14,"ford ltd"
14.5,"ford gran torino"
