car_name,acceleration,mpg
"buick skylark 320",11.5,15
"plymouth satellite",11,18
"ford torino",10.5,17
"ford galaxie 500",10,15
"pontiac catalina",10,14
"dodge challenger se",10,15
"buick estate wagon (sw)",10,14
"pontiac catalina brougham",11.5,14
"dodge monaco (sw)",11.5,12
"amc ambassador sst",11.5,17
"mercury marquis",11,11
"amc matador",11.5,14
"mercury marquis brougham",11.5,12
"chrysler new yorker brougham",11,13
"buick electra 225 custom",11,12
"amc ambassador brougham",11,13
"dodge dart custom",11,15
"oldsmobile omega",11,11
"pontiac catalina",11.5,16
"pontiac grand prix lj",11.1,16
"chevrolet monte carlo landau",11.4,15.5
"ford futura",11.2,18.1
